#Table1
objID,skyVersion,run,rerun,camCol,field,obj,ra,dec,u,g,r,i,z,diffUG
1237666338116206740,2,4858,301,1,480,148,18.8868999618604,-0.862061800740522,21.3222,21.58144,21.54177,21.62194,22.17992,-0.2592392
1237666338116206733,2,4858,301,1,480,141,18.8774491013256,-0.864861496780762,21.38808,21.35603,21.2745,21.29782,21.62783,0.03204536
1237663783131873466,2,4263,301,2,241,186,18.8417984537087,-0.827046983136076,19.63787,19.57573,19.20348,19.19905,19.28707,0.06214714
1237663783131938840,2,4263,301,2,242,24,18.8838150689202,-0.812664636117845,18.83106,18.666,18.8408,19.0957,19.48766,0.16506
1237663783131938822,2,4263,301,2,242,6,18.8617890606668,-0.784072017079714,16.21823,15.48926,13.84833,13.72361,13.92675,0.728961
1237663783131939069,2,4263,301,2,242,253,18.8611551709353,-0.792209602690294,22.20623,21.33935,21.12769,20.90899,21.45394,0.8668804
1237663783131938833,2,4263,301,2,242,17,18.8685218951303,-0.771885982413853,22.14637,21.27659,20.83335,20.74755,20.93909,0.8697777
1237663783131873602,2,4263,301,2,241,322,18.8101130460689,-0.764834800343264,22.17139,21.26205,20.66051,20.43081,20.47499,0.9093456
1237666338116206725,2,4858,301,1,480,133,18.8798630687838,-0.855777832664988,22.29816,21.2955,20.91001,20.81851,20.78794,1.002657
1237663783131873607,2,4263,301,2,241,327,18.818387131785,-0.772276869826993,22.32034,21.26012,21.0684,20.85005,20.90121,1.060221
1237666338116206690,2,4858,301,1,480,98,18.8257915270771,-0.855033758549094,15.64983,14.54066,14.32394,14.14714,14.17096,1.109169
1237666338116206959,2,4858,301,1,480,367,18.8053413901816,-0.840767138970645,21.52991,20.41047,20.01153,19.92102,19.77881,1.11945
1237663783131938829,2,4263,301,2,242,13,18.8666292892214,-0.809062362492327,17.73244,16.49841,16.07787,15.93454,15.87812,1.23403
1237663783131873464,2,4263,301,2,241,184,18.8412600820429,-0.809035060299842,20.68387,19.42022,18.87074,18.66952,18.58075,1.263647
1237663783131873327,2,4263,301,2,241,47,18.8189571305197,-0.802855199717363,16.28361,14.89489,14.45095,14.32514,14.29916,1.388714
1237663783131873455,2,4263,301,2,241,175,18.828150990089,-0.77567202558092,19.0697,17.60451,17.03367,16.80247,16.67749,1.465191
1237663783131873323,2,4263,301,2,241,43,18.7928640505394,-0.756516314170017,17.89662,16.07079,15.38545,15.16867,15.07749,1.825836
1237663783131938832,2,4263,301,2,242,16,18.8668480302876,-0.770755294722711,18.02557,16.13975,15.4235,15.13907,15.00781,1.885817
1237663783131873365,2,4263,301,2,241,85,18.8534920635064,-0.805087705741647,17.81753,15.80935,14.36534,13.92835,13.56881,2.008185
1237666338116206708,2,4858,301,1,480,116,18.8542643958851,-0.857461514182045,19.28848,17.21696,16.402,16.11277,15.96963,2.071522
1237663783131873429,2,4263,301,2,241,149,18.795953089512,-0.788345529739229,19.8814,17.7065,16.82009,16.45804,16.24635,2.174906
1237663783131873514,2,4263,301,2,241,234,18.8171980771572,-0.769508209174221,22.62721,20.32201,18.90069,18.16287,17.72704,2.305199
1237663783131938839,2,4263,301,2,242,23,18.8839744081902,-0.813964963610306,19.18909,16.48963,15.06637,14.37507,13.99472,2.699463
1237663783131873475,2,4263,301,2,241,195,18.8567616774126,-0.760943561017826,22.04005,19.32653,17.95392,16.99811,16.46828,2.713518
1237663783131873423,2,4263,301,2,241,143,18.7805666759902,-0.80666643846263,22.43129,19.71735,18.28674,17.56421,17.16521,2.713936
1237666338116206850,2,4858,301,1,480,258,18.8071974174772,-0.864713091160718,19.45445,16.72729,15.31672,14.61258,14.22951,2.72716
1237663783131873412,2,4263,301,2,241,132,18.77215951243,-0.826806619129506,22.47231,19.68392,18.24471,17.26932,16.71403,2.788387
1237666338116206774,2,4858,301,1,480,182,18.8813592744727,-0.842010522667394,19.84777,17.0325,15.62517,14.98311,14.64841,2.815271
1237663783131873345,2,4263,301,2,241,65,18.843059075262,-0.768934351091347,15.13306,11.38696,10.54038,10.35415,10.41661,3.746102
