state,value
Alabama,132.4075709799
Alaska,43.3833365366
Arizona,87.8789683925
Arkansas,62.4663648213
California,381.5785810502
Colorado,92.371721445
Connecticut,40.5518093282
Delaware,15.334425205
District of Columbia,4.0653412568
Florida,237.3180863733
Georgia,159.9572789483
Hawaii,19.2139502176
Idaho,15.4680519933
Illinois,221.8440930369
Indiana,226.4087074672
Iowa,75.8197065506
Kansas,71.5123395836
Kentucky,148.3627154315
Louisiana,216.1866716097
Maine,22.3798838817
Maryland,77.6539479825
Massachusetts,80.9859708226
Michigan,188.129878132
Minnesota,94.4045626921
Mississippi,69.6180700282
Missouri,129.954153144
Montana,31.8596813068
Nebraska,42.5528811524
Nevada,44.5374754352
New Hampshire,16.8367657863
New Jersey,117.7825032755
New Mexico,58.1895584404
New York,203.6673578406
North Carolina,140.8120558055
North Dakota,51.6794828418
Ohio,253.8254159981
Oklahoma,101.1975176857
Oregon,40.4126172558
Pennsylvania,261.9366107762
Rhode Island,12.142974521
South Carolina,78.6328114906
South Dakota,13.3586401812
Tennessee,124.9715284721
Texas,712.0549624204
Utah,62.7504415791
Vermont,6.5705658164
Virginia,119.6852579125
Washington,79.306008896
West Virginia,104.1062220301
Wisconsin,105.0286267345
Wyoming,63.1684710576
