timestamp,mallcode,gender,type,volume
2013-08-17T19:52:50.074,0,male,0,25
2013-08-17T19:45:25.076,0,female,1,26
2013-08-17T19:44:28.998,3,female,2,27
2013-08-17T19:40:45.348,0,female,2,6
2013-08-17T19:39:16.665,1,male,0,6
2013-08-17T19:36:38.068,0,male,0,5
2013-08-17T19:18:45.724,3,male,2,40
2013-08-17T19:16:55.737,2,male,0,6
2013-08-17T19:15:05.884,3,female,1,43
2013-08-17T19:09:38.454,1,female,0,8
2013-08-17T19:05:55.324,2,female,0,19
2013-08-17T19:03:45.107,2,female,2,7
2013-08-17T18:59:05.698,2,male,1,5
2013-08-17T18:54:06.179,0,male,1,5
2013-08-17T18:52:31.189,0,female,0,14
2013-08-17T18:33:30.502,2,female,0,7
2013-08-17T18:29:58.478,2,male,0,14
2013-08-17T18:20:20.85,3,male,1,5
2013-08-17T18:13:16.722,2,female,0,13
2013-08-17T18:11:36.541,3,female,0,5
2013-08-17T18:06:20.225,1,male,2,5
2013-08-17T18:04:26.377,1,male,1,5
2013-08-17T17:54:42.529,1,female,2,5
2013-08-17T17:52:15.396,1,male,2,12
2013-08-17T17:44:41.781,1,female,1,152
2013-08-17T17:43:49.65,1,female,2,5
2013-08-17T17:41:50.093,1,male,1,207
2013-08-17T17:39:34.524,2,male,1,13
2013-08-17T17:32:49.654,1,female,2,7
2013-08-17T17:29:57.879,0,male,1,52
2013-08-17T17:28:50.797,3,male,0,24
2013-08-17T17:24:00.363,3,female,1,8
2013-08-17T17:15:13.251,0,female,0,10
2013-08-17T17:13:12.025,3,male,1,8
2013-08-17T17:10:58.616,1,male,2,13
2013-08-17T17:03:42.909,0,male,2,5
2013-08-17T17:02:39.761,0,male,2,12
2013-08-17T16:53:49.994,1,male,0,5
2013-08-17T16:52:35.997,1,female,0,5
2013-08-17T16:48:36.28,2,female,1,11
2013-08-17T16:42:52.635,0,female,0,42
2013-08-17T16:38:08.702,0,female,0,5
2013-08-17T16:32:22.853,2,male,2,5
2013-08-17T16:27:09.459,3,female,1,8
2013-08-17T16:07:52.423,0,female,2,20
2013-08-17T15:59:10.264,2,male,0,5
2013-08-17T15:54:15.213,0,male,0,5
2013-08-17T15:53:35.351,2,female,1,13
2013-08-17T15:51:52.687,3,male,0,6
2013-08-17T15:50:38.208,1,female,2,239
2013-08-17T15:49:32.834,0,male,1,6
2013-08-17T15:46:19.733,3,male,0,7
2013-08-17T15:42:38.752,1,female,1,8
2013-08-17T15:40:28.523,0,female,2,26
2013-08-17T15:39:20.127,3,male,2,50
2013-08-17T15:38:02.22,2,male,1,11
2013-08-17T15:24:10.695,3,female,0,10
2013-08-17T15:21:54.538,0,male,2,5
2013-08-17T15:16:11.324,2,female,1,5
2013-08-17T15:09:12.466,3,male,0,5
2013-08-17T15:07:18.171,0,male,0,7
2013-08-17T14:56:22.605,1,female,2,5
2013-08-17T14:54:41.953,1,male,0,7
2013-08-17T14:51:37.053,2,male,1,9
2013-08-17T14:45:24.557,1,male,0,5
2013-08-17T14:43:34.09,1,male,1,11
2013-08-17T14:40:39.343,3,female,1,37
2013-08-17T14:35:32.893,0,male,2,5
2013-08-17T14:31:29.132,1,female,2,10
2013-08-17T14:27:40.975,0,male,1,8
2013-08-17T14:22:43.02,2,male,2,6
2013-08-17T14:21:29.967,2,female,1,9
2013-08-17T14:16:29.056,2,male,2,14
2013-08-17T14:13:43.068,2,male,0,23
2013-08-17T14:10:45.393,0,male,1,15
2013-08-17T14:09:18.031,2,male,1,313
2013-08-17T14:00:54.886,0,male,2,26
2013-08-17T13:57:00.458,1,male,0,11
2013-08-17T13:52:06.489,2,male,2,13
2013-08-17T13:45:59.89,1,female,1,5
2013-08-17T13:42:55.144,3,male,1,7
2013-08-17T13:41:44.389,2,male,1,39
2013-08-17T13:38:58.42,0,female,1,18
2013-08-17T13:37:07.757,3,male,0,5
2013-08-17T13:32:07.908,1,female,0,14
2013-08-17T13:31:38.6,3,female,2,20
2013-08-17T13:30:26.751,3,male,0,6
2013-08-17T13:26:23.637,3,male,1,14
2013-08-17T13:21:13.784,1,female,2,6
2013-08-17T13:16:36.58,0,male,1,5
2013-08-17T13:13:54.496,3,male,1,17
2013-08-17T13:09:39.843,0,male,0,6
2013-08-17T13:06:56,1,male,0,88
2013-08-17T13:06:24.972,3,male,1,11
2013-08-17T13:05:04.432,2,male,2,20
2013-08-17T13:04:39.258,1,male,2,26
2013-08-17T12:57:23.54,0,male,1,24
2013-08-17T12:53:48.299,1,male,0,5
2013-08-17T12:50:49.452,3,female,0,5
2013-08-17T12:48:12.977,1,male,2,5
2013-08-17T12:45:06.591,2,female,0,8
2013-08-17T12:40:29.723,0,male,0,14
2013-08-17T12:39:28.52,2,male,2,9
2013-08-17T12:26:45.386,0,male,2,8
2013-08-17T12:20:58.786,2,male,1,20
2013-08-17T12:12:56.692,3,male,0,25
2013-08-17T12:11:38.284,2,female,2,22
2013-08-17T12:06:17.218,3,male,0,11
2013-08-17T11:57:19.352,3,male,1,8
2013-08-17T11:50:48.382,0,female,0,259
2013-08-17T11:49:30.634,3,male,2,10
2013-08-17T11:46:16.315,0,female,0,6
2013-08-17T11:44:54.446,1,male,0,5
2013-08-17T11:42:25.526,2,female,0,5
2013-08-17T11:37:01.049,1,female,0,16
2013-08-17T11:32:53.563,1,male,2,34
2013-08-17T11:30:39.411,0,male,0,5
2013-08-17T11:27:20.56,1,male,2,8
2013-08-17T11:21:58.48,3,male,1,29
2013-08-17T11:20:14.311,3,female,2,78
2013-08-17T11:18:53.799,1,male,1,9
2013-08-17T11:10:02.815,2,male,1,19
2013-08-17T11:08:51.016,3,male,0,10
2013-08-17T11:05:59.934,1,female,0,5
2013-08-17T10:55:54.574,3,male,0,5
2013-08-17T10:52:17.824,1,male,1,5
2013-08-17T10:50:49.773,1,male,1,15
2013-08-17T10:46:04.979,3,male,1,8
2013-08-17T10:43:32.349,3,female,0,5
2013-08-17T10:41:33.257,3,male,2,30
2013-08-17T10:39:41.915,0,male,0,5
2013-08-17T10:36:51.71,1,male,2,12
2013-08-17T10:36:03.602,0,female,2,7
2013-08-17T10:34:18.407,0,female,0,5
2013-08-17T10:33:36.805,0,male,1,129
2013-08-17T10:30:32.937,1,male,2,5
2013-08-17T10:28:08.794,2,female,0,7
2013-08-17T10:24:20.229,0,male,0,25
2013-08-17T10:18:18.453,2,male,1,5
2013-08-17T10:16:06.793,2,male,0,5
2013-08-17T10:12:31.801,1,female,1,13
2013-08-17T10:07:32.523,2,female,0,6
2013-08-17T10:06:33.111,3,female,2,22
2013-08-17T10:04:57.228,2,male,1,8
2013-08-17T10:02:51.66,0,male,1,22
2013-08-17T09:58:54.066,0,male,1,5
2013-08-17T09:58:09.003,2,male,0,8
2013-08-17T09:51:44.282,1,female,0,5
2013-08-17T09:50:38.934,3,male,2,60
2013-08-17T09:47:50.519,2,male,1,7
2013-08-17T09:45:01.776,1,male,1,10
2013-08-17T09:43:00.564,0,female,2,10
2013-08-17T09:39:19.237,2,male,0,10
2013-08-17T09:35:47.407,3,male,0,6
2013-08-17T09:33:40.806,0,male,2,51
2013-08-17T09:31:24.273,0,male,0,6
2013-08-17T09:26:56.012,2,female,0,24
2013-08-17T09:25:11.397,0,male,0,5
2013-08-17T09:21:15.99,0,male,1,16
2013-08-17T09:20:32.823,0,male,1,5
2013-08-17T09:18:22.531,1,male,2,15
2013-08-17T09:15:26.431,0,female,2,8
2013-08-17T09:10:59.637,1,male,2,9
2013-08-17T09:09:10.394,2,male,1,12
2013-08-17T09:06:32.482,0,male,2,9
2013-08-17T09:04:25.596,2,male,0,9
2013-08-17T08:58:39.68,1,female,0,20
2013-08-17T08:55:28.01,1,female,0,5
2013-08-17T08:49:27.296,2,male,1,5
2013-08-17T08:49:12.852,3,male,0,186
2013-08-17T08:41:30.026,1,male,0,15
2013-08-17T08:38:32.612,1,male,1,13
2013-08-17T08:35:46.126,2,female,1,5
2013-08-17T08:31:07.63,1,male,1,6
2013-08-17T08:28:26.276,2,male,1,5
2013-08-17T08:26:55.005,0,male,1,12
2013-08-17T08:18:59.035,3,male,1,11
2013-08-17T08:13:36.253,2,female,1,16
2013-08-17T08:10:11.581,2,male,0,22
2013-08-17T08:09:28.228,0,male,1,31
2013-08-17T08:07:51.681,1,female,2,97
2013-08-17T07:59:24.203,3,male,0,7
2013-08-17T07:57:32.47,1,male,0,14
2013-08-17T07:51:09.522,3,male,2,5
2013-08-17T07:48:51.633,2,female,1,6
2013-08-17T07:36:33.448,1,male,0,7
2013-08-17T07:30:52.48,2,female,1,51
2013-08-17T07:30:40.589,0,male,0,7
2013-08-17T07:27:24.214,0,male,2,52
2013-08-17T07:16:55.594,3,male,2,18
2013-08-17T07:11:12.111,1,female,0,8
2013-08-17T07:06:04.739,1,male,0,5
2013-08-17T07:04:21.042,3,female,2,122
