number,date,name,status,category,wind,lat,lon
35,2012-12-24,Wukong,Tropical Storm,0,35,11.3,124.5
36,2012-11-25,Bopha,Super Typhoon,5,140,7.4,128.9
37,2012-11-14,Twentyfive,Tropical Depression,0,25,7.7,108.4
38,2012-10-23,Son_Tinh,Typhoon,3,110,17.5,108.8
39,2012-10-14,Maria,Tropical Storm,0,55,26.9,141.1
40,2012-10-07,Prapiroon,Typhoon,3,100,19.8,128.7
41,2012-10-01,Gaemi,Tropical Storm,0,55,15.3,117.5
42,2012-09-30,Maliksi,Tropical Storm,0,45,24.5,141.4
43,2012-09-24,Ewiniar,Tropical Storm,0,55,30.3,142.3
44,2012-09-20,Jelawat,Super Typhoon,5,140,15.3,127.8
45,2012-09-10,Sanba,Super Typhoon,5,150,17.2,129.7
46,2012-08-20,Bolaven,Super Typhoon,4,125,22.8,132.6
47,2012-08-19,Tembin,Typhoon,4,115,19.5,125.3
48,2012-08-12,Kai_Tak,Typhoon,1,70,19.2,117.1
49,2012-08-04,Kirogi,Tropical Storm,0,45,26.6,163.1
50,2012-08-02,Haikui,Typhoon,1,65,27.3,124.8
51,2012-07-28,Damrey,Typhoon,1,75,33.8,122.2
52,2012-07-28,Saola,Typhoon,2,90,23.6,123.4
53,2012-07-20,Vicente,Typhoon,4,115,21.7,113.3
54,2012-07-15,Khanun,Tropical Storm,0,50,26.8,129.5
55,2012-06-26,Doksuri,Tropical Storm,0,50,19.2,119
56,2012-06-17,Talim,Tropical Storm,0,45,19.3,112.8
57,2012-06-11,Guchol,Super Typhoon,4,130,15,128.9
58,2012-05-31,Mawar,Typhoon,3,100,21.6,126.3
59,2012-05-21,Sanvu,Typhoon,1,80,22.2,139.2
60,2012-03-29,Pakhar,Typhoon,1,65,9.7,111.3
61,2012-02-17,One,Tropical Depression,0,25,9.6,113.8
